DateTime,Consumption,Month,Year,Date,Time,Week,Day
2016-01-05 14:00:00,13378,1,2016,2016-01-05,14:00:00,1,Tuesday
2016-01-05 15:00:00,13374,1,2016,2016-01-05,15:00:00,1,Tuesday
2016-01-05 16:00:00,13342,1,2016,2016-01-05,16:00:00,1,Tuesday
2016-01-05 17:00:00,13472,1,2016,2016-01-05,17:00:00,1,Tuesday
2016-01-05 18:00:00,13803,1,2016,2016-01-05,18:00:00,1,Tuesday
2016-01-05 19:00:00,13820,1,2016,2016-01-05,19:00:00,1,Tuesday
2016-01-05 20:00:00,13752,1,2016,2016-01-05,20:00:00,1,Tuesday
2016-01-05 21:00:00,13934,1,2016,2016-01-05,21:00:00,1,Tuesday
2016-01-05 22:00:00,13539,1,2016,2016-01-05,22:00:00,1,Tuesday
2016-01-05 23:00:00,13066,1,2016,2016-01-05,23:00:00,1,Tuesday
2016-01-06 00:00:00,13301,1,2016,2016-01-06,00:00:00,1,Wednesday
2016-01-06 01:00:00,13197,1,2016,2016-01-06,01:00:00,1,Wednesday
2016-01-06 02:00:00,12765,1,2016,2016-01-06,02:00:00,1,Wednesday
2016-01-06 03:00:00,12335,1,2016,2016-01-06,03:00:00,1,Wednesday
2016-01-06 04:00:00,12167,1,2016,2016-01-06,04:00:00,1,Wednesday
2016-01-06 05:00:00,12023,1,2016,2016-01-06,05:00:00,1,Wednesday
2016-01-06 06:00:00,12110,1,2016,2016-01-06,06:00:00,1,Wednesday
2016-01-06 07:00:00,12316,1,2016,2016-01-06,07:00:00,1,Wednesday
2016-01-06 08:00:00,12532,1,2016,2016-01-06,08:00:00,1,Wednesday
2016-01-06 09:00:00,12620,1,2016,2016-01-06,09:00:00,1,Wednesday
2016-01-06 10:00:00,12945,1,2016,2016-01-06,10:00:00,1,Wednesday
2016-01-06 11:00:00,13083,1,2016,2016-01-06,11:00:00,1,Wednesday
2016-01-06 12:00:00,13224,1,2016,2016-01-06,12:00:00,1,Wednesday
2016-01-06 13:00:00,13482,1,2016,2016-01-06,13:00:00,1,Wednesday
2016-01-06 14:00:00,13551,1,2016,2016-01-06,14:00:00,1,Wednesday
2016-01-06 15:00:00,13428,1,2016,2016-01-06,15:00:00,1,Wednesday
2016-01-06 16:00:00,13441,1,2016,2016-01-06,16:00:00,1,Wednesday
2016-01-06 17:00:00,13663,1,2016,2016-01-06,17:00:00,1,Wednesday
2016-01-06 18:00:00,14066,1,2016,2016-01-06,18:00:00,1,Wednesday
2016-01-06 19:00:00,14094,1,2016,2016-01-06,19:00:00,1,Wednesday
2016-01-06 20:00:00,14182,1,2016,2016-01-06,20:00:00,1,Wednesday
2016-01-06 21:00:00,14259,1,2016,2016-01-06,21:00:00,1,Wednesday
2016-01-06 22:00:00,14132,1,2016,2016-01-06,22:00:00,1,Wednesday
2016-01-06 23:00:00,13710,1,2016,2016-01-06,23:00:00,1,Wednesday
2016-01-07 00:00:00,13760,1,2016,2016-01-07,00:00:00,1,Thursday
2016-01-07 01:00:00,13672,1,2016,2016-01-07,01:00:00,1,Thursday
2016-01-07 02:00:00,13285,1,2016,2016-01-07,02:00:00,1,Thursday
2016-01-07 03:00:00,13011,1,2016,2016-01-07,03:00:00,1,Thursday
2016-01-07 04:00:00,12821,1,2016,2016-01-07,04:00:00,1,Thursday
2016-01-07 05:00:00,12821,1,2016,2016-01-07,05:00:00,1,Thursday
2016-01-07 06:00:00,12953,1,2016,2016-01-07,06:00:00,1,Thursday
2016-01-07 07:00:00,13399,1,2016,2016-01-07,07:00:00,1,Thursday
2016-01-07 08:00:00,14160,1,2016,2016-01-07,08:00:00,1,Thursday
2016-01-07 09:00:00,14523,1,2016,2016-01-07,09:00:00,1,Thursday
2016-01-07 10:00:00,14888,1,2016,2016-01-07,10:00:00,1,Thursday
2016-01-07 11:00:00,14808,1,2016,2016-01-07,11:00:00,1,Thursday
2016-01-07 12:00:00,14797,1,2016,2016-01-07,12:00:00,1,Thursday
2016-01-07 13:00:00,14791,1,2016,2016-01-07,13:00:00,1,Thursday
2016-01-07 14:00:00,14747,1,2016,2016-01-07,14:00:00,1,Thursday
2016-01-07 15:00:00,14670,1,2016,2016-01-07,15:00:00,1,Thursday
2016-01-07 16:00:00,14647,1,2016,2016-01-07,16:00:00,1,Thursday
2016-01-07 17:00:00,14716,1,2016,2016-01-07,17:00:00,1,Thursday
2016-01-07 18:00:00,15075,1,2016,2016-01-07,18:00:00,1,Thursday
2016-01-07 19:00:00,15105,1,2016,2016-01-07,19:00:00,1,Thursday
2016-01-07 20:00:00,15043,1,2016,2016-01-07,20:00:00,1,Thursday
2016-01-07 21:00:00,14982,1,2016,2016-01-07,21:00:00,1,Thursday
2016-01-07 22:00:00,14829,1,2016,2016-01-07,22:00:00,1,Thursday
2016-01-07 23:00:00,14342,1,2016,2016-01-07,23:00:00,1,Thursday
2016-01-08 00:00:00,14303,1,2016,2016-01-08,00:00:00,1,Friday
2016-01-08 01:00:00,14074,1,2016,2016-01-08,01:00:00,1,Friday
2016-01-08 02:00:00,13643,1,2016,2016-01-08,02:00:00,1,Friday
2016-01-08 03:00:00,13369,1,2016,2016-01-08,03:00:00,1,Friday
2016-01-08 04:00:00,13142,1,2016,2016-01-08,04:00:00,1,Friday
2016-01-08 05:00:00,13111,1,2016,2016-01-08,05:00:00,1,Friday
2016-01-08 06:00:00,13213,1,2016,2016-01-08,06:00:00,1,Friday
2016-01-08 07:00:00,13602,1,2016,2016-01-08,07:00:00,1,Friday
2016-01-08 08:00:00,14414,1,2016,2016-01-08,08:00:00,1,Friday
2016-01-08 09:00:00,14631,1,2016,2016-01-08,09:00:00,1,Friday
2016-01-08 10:00:00,14802,1,2016,2016-01-08,10:00:00,1,Friday
2016-01-08 11:00:00,14750,1,2016,2016-01-08,11:00:00,1,Friday
2016-01-08 12:00:00,14676,1,2016,2016-01-08,12:00:00,1,Friday
2016-01-08 13:00:00,14650,1,2016,2016-01-08,13:00:00,1,Friday
2016-01-08 14:00:00,14553,1,2016,2016-01-08,14:00:00,1,Friday
2016-01-08 15:00:00,14374,1,2016,2016-01-08,15:00:00,1,Friday
2016-01-08 16:00:00,14213,1,2016,2016-01-08,16:00:00,1,Friday
2016-01-08 17:00:00,14239,1,2016,2016-01-08,17:00:00,1,Friday
2016-01-08 18:00:00,14421,1,2016,2016-01-08,18:00:00,1,Friday
2016-01-08 19:00:00,14457,1,2016,2016-01-08,19:00:00,1,Friday
2016-01-08 20:00:00,14399,1,2016,2016-01-08,20:00:00,1,Friday
2016-01-08 21:00:00,14358,1,2016,2016-01-08,21:00:00,1,Friday
2016-01-08 22:00:00,14011,1,2016,2016-01-08,22:00:00,1,Friday
2016-01-08 23:00:00,13515,1,2016,2016-01-08,23:00:00,1,Friday
2016-01-09 00:00:00,13499,1,2016,2016-01-09,00:00:00,1,Saturday
2016-01-09 01:00:00,13223,1,2016,2016-01-09,01:00:00,1,Saturday
2016-01-09 02:00:00,12729,1,2016,2016-01-09,02:00:00,1,Saturday
2016-01-09 03:00:00,12340,1,2016,2016-01-09,03:00:00,1,Saturday
2016-01-09 04:00:00,12151,1,2016,2016-01-09,04:00:00,1,Saturday
2016-01-09 05:00:00,12056,1,2016,2016-01-09,05:00:00,1,Saturday
2016-01-09 06:00:00,11957,1,2016,2016-01-09,06:00:00,1,Saturday
2016-01-09 07:00:00,12070,1,2016,2016-01-09,07:00:00,1,Saturday
2016-01-09 08:00:00,12286,1,2016,2016-01-09,08:00:00,1,Saturday
2016-01-09 09:00:00,12327,1,2016,2016-01-09,09:00:00,1,Saturday
2016-01-09 10:00:00,12718,1,2016,2016-01-09,10:00:00,1,Saturday
2016-01-09 11:00:00,12846,1,2016,2016-01-09,11:00:00,1,Saturday
2016-01-09 12:00:00,12971,1,2016,2016-01-09,12:00:00,1,Saturday
2016-01-09 13:00:00,13019,1,2016,2016-01-09,13:00:00,1,Saturday
2016-01-09 14:00:00,12935,1,2016,2016-01-09,14:00:00,1,Saturday
2016-01-09 15:00:00,12876,1,2016,2016-01-09,15:00:00,1,Saturday
2016-01-09 16:00:00,12839,1,2016,2016-01-09,16:00:00,1,Saturday
2016-01-09 17:00:00,12972,1,2016,2016-01-09,17:00:00,1,Saturday
2016-01-09 18:00:00,13416,1,2016,2016-01-09,18:00:00,1,Saturday
2016-01-09 19:00:00,13537,1,2016,2016-01-09,19:00:00,1,Saturday
2016-01-09 20:00:00,13640,1,2016,2016-01-09,20:00:00,1,Saturday
2016-01-09 21:00:00,13553,1,2016,2016-01-09,21:00:00,1,Saturday
2016-01-09 22:00:00,13214,1,2016,2016-01-09,22:00:00,1,Saturday
2016-01-09 23:00:00,12788,1,2016,2016-01-09,23:00:00,1,Saturday
2016-01-10 00:00:00,12909,1,2016,2016-01-10,00:00:00,1,Sunday
2016-01-10 01:00:00,12825,1,2016,2016-01-10,01:00:00,1,Sunday
2016-01-10 02:00:00,12440,1,2016,2016-01-10,02:00:00,1,Sunday
2016-01-10 03:00:00,12142,1,2016,2016-01-10,03:00:00,1,Sunday
2016-01-10 04:00:00,11915,1,2016,2016-01-10,04:00:00,1,Sunday
2016-01-10 05:00:00,11760,1,2016,2016-01-10,05:00:00,1,Sunday
2016-01-10 06:00:00,11768,1,2016,2016-01-10,06:00:00,1,Sunday
2016-01-10 07:00:00,11814,1,2016,2016-01-10,07:00:00,1,Sunday
2016-01-10 08:00:00,11964,1,2016,2016-01-10,08:00:00,1,Sunday
2016-01-10 09:00:00,11900,1,2016,2016-01-10,09:00:00,1,Sunday
2016-01-10 10:00:00,12179,1,2016,2016-01-10,10:00:00,1,Sunday
2016-01-10 11:00:00,12239,1,2016,2016-01-10,11:00:00,1,Sunday
2016-01-10 12:00:00,12453,1,2016,2016-01-10,12:00:00,1,Sunday
2016-01-10 13:00:00,12639,1,2016,2016-01-10,13:00:00,1,Sunday
2016-01-10 14:00:00,12736,1,2016,2016-01-10,14:00:00,1,Sunday
2016-01-10 15:00:00,12653,1,2016,2016-01-10,15:00:00,1,Sunday
2016-01-10 16:00:00,12649,1,2016,2016-01-10,16:00:00,1,Sunday
2016-01-10 17:00:00,12821,1,2016,2016-01-10,17:00:00,1,Sunday
2016-01-10 18:00:00,13261,1,2016,2016-01-10,18:00:00,1,Sunday
2016-01-10 19:00:00,13310,1,2016,2016-01-10,19:00:00,1,Sunday
2016-01-10 20:00:00,13267,1,2016,2016-01-10,20:00:00,1,Sunday
2016-01-10 21:00:00,13197,1,2016,2016-01-10,21:00:00,1,Sunday
2016-01-10 22:00:00,13003,1,2016,2016-01-10,22:00:00,1,Sunday
2016-01-10 23:00:00,12612,1,2016,2016-01-10,23:00:00,1,Sunday
2016-01-11 00:00:00,12792,1,2016,2016-01-11,00:00:00,2,Monday
2016-01-11 01:00:00,12684,1,2016,2016-01-11,01:00:00,2,Monday
2016-01-11 02:00:00,12340,1,2016,2016-01-11,02:00:00,2,Monday
2016-01-11 03:00:00,12026,1,2016,2016-01-11,03:00:00,2,Monday
2016-01-11 04:00:00,11738,1,2016,2016-01-11,04:00:00,2,Monday
2016-01-11 05:00:00,11658,1,2016,2016-01-11,05:00:00,2,Monday
2016-01-11 06:00:00,11772,1,2016,2016-01-11,06:00:00,2,Monday
2016-01-11 07:00:00,12201,1,2016,2016-01-11,07:00:00,2,Monday
2016-01-11 08:00:00,13182,1,2016,2016-01-11,08:00:00,2,Monday
2016-01-11 09:00:00,13542,1,2016,2016-01-11,09:00:00,2,Monday
2016-01-11 10:00:00,13853,1,2016,2016-01-11,10:00:00,2,Monday
2016-01-11 11:00:00,13746,1,2016,2016-01-11,11:00:00,2,Monday
2016-01-11 12:00:00,13620,1,2016,2016-01-11,12:00:00,2,Monday
